User ID,Number of Accesses,Unique Items (Locations),Extra Cache Faults By Opt. Alg.,Rank
208,2100,792,164,1
2149,2100,646,88,2
1863,2100,1295,76,3
1864,2100,816,68,4
674,1812,641,49,5
1791,1393,567,43,6
1868,2100,598,35,7
62,2100,402,34,8
1859,2100,1044,31,9
2861,2100,649,31,10
1285,2100,473,30,11
8696,2100,452,29,12
2813,2100,558,28,13
2134,2100,490,25,14
1873,1989,392,22,15
10348,2100,679,22,16
69,1598,732,22,17
9403,1873,585,21,18
17,1577,668,21,19
12053,1658,591,20,20
2015,2100,371,20,21
9730,1800,386,19,22
1302,2100,699,19,23
624,2100,297,16,24
2858,2100,410,15,25
1986,2100,461,14,26
0,2100,623,14,27
2836,2100,585,14,28
2855,2100,541,14,29
236,2100,607,13,30
7619,2100,733,13,31
2,2100,495,13,32
2881,2100,588,12,33
6614,1500,626,12,34
9109,1852,606,12,35
49,1927,620,11,36
