Solution Name - Buffer Size,3000,6000,9000,12000,15000,18000,21000,24000,27000,30000
2Q,0.0,0.0,0.005,0.019,0.035,0.055,0.073,0.099,0.117,0.131
Belady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.015,0.023
LIRS,0.0,0.0,0.0,0.0,0.001,0.002,0.004,0.017,0.022,0.029
LRFU,0.0,0.002,0.015,0.029,0.046,0.057,0.069,0.086,0.09,0.096
LRU,0.016,0.03,0.043,0.055,0.069,0.077,0.086,0.098,0.099,0.104
LRU-2,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.006,0.012
MQ,0.005,0.0,0.0,0.0,0.0,0.001,0.001,0.006,0.011,0.019
NaiveLRU,0.016,0.029,0.042,0.054,0.068,0.076,0.085,0.101,0.104,0.103
